DATE,SP500
2017-12-02,2628.8660000000000000
2017-12-09,2637.3520000000000000
2017-12-16,2662.9540000000000000
2017-12-23,2683.7580000000000000
2017-12-30,2681.0675000000000000
2018-01-06,2719.0025000000000000
2018-01-13,2760.2060000000000000
2018-01-20,2796.8275000000000000
2018-01-27,2844.3520000000000000
2018-02-03,2816.7760000000000000
2018-02-10,2645.2580000000000000
2018-02-17,2696.1980000000000000
2018-02-24,2717.2125000000000000
2018-03-03,2721.3260000000000000
2018-03-10,2740.2800000000000000
2018-03-17,2759.4300000000000000
2018-03-24,2674.7480000000000000
2018-03-31,2629.2600000000000000
2018-04-07,2621.6660000000000000
2018-04-14,2646.5020000000000000
2018-04-21,2691.2280000000000000
2018-04-28,2656.2200000000000000
2018-05-05,2646.3340000000000000
2018-05-12,2698.6260000000000000
2018-05-19,2719.4280000000000000
2018-05-26,2727.9660000000000000
2018-06-02,2713.4400000000000000
2018-06-09,2763.4840000000000000
2018-06-16,2781.3260000000000000
2018-06-23,2761.6600000000000000
2018-06-30,2714.8880000000000000
2018-07-07,2734.0900000000000000
2018-07-14,2790.3260000000000000
2018-07-21,2805.9840000000000000
2018-07-28,2825.9420000000000000
2018-08-04,2819.9640000000000000
2018-08-11,2850.6820000000000000
2018-08-18,2834.2160000000000000
2018-08-25,2862.7000000000000000
2018-09-01,2902.1900000000000000
2018-09-08,2883.7625000000000000
2018-09-15,2892.6200000000000000
2018-09-22,2912.2960000000000000
2018-09-29,2913.7760000000000000
2018-10-06,2912.1420000000000000
2018-10-13,2809.1900000000000000
2018-10-20,2781.2960000000000000
2018-10-27,2703.3860000000000000
2018-11-03,2699.8100000000000000
2018-11-10,2779.0980000000000000
2018-11-17,2723.2900000000000000
2018-11-24,2653.7775000000000000
2018-12-01,2719.4680000000000000
2018-12-08,2704.8650000000000000
2018-12-15,2635.2120000000000000
2018-12-22,2496.6200000000000000
2018-12-29,2448.3425000000000000
2019-01-05,2499.1775000000000000
2019-01-12,2580.3920000000000000
2019-01-19,2623.1360000000000000
2019-01-26,2644.6725000000000000
2019-02-02,2675.1060000000000000
2019-02-09,2721.6220000000000000
2019-02-16,2745.7780000000000000
2019-02-23,2783.0025000000000000
2019-03-02,2794.1140000000000000
2019-03-09,2769.1820000000000000
2019-03-16,2803.3400000000000000
2019-03-23,2829.0660000000000000
2019-03-30,2814.4060000000000000
2019-04-06,2875.9920000000000000
2019-04-13,2891.5820000000000000
2019-04-20,2904.5300000000000000
2019-04-27,2926.9900000000000000
2019-05-04,2935.1500000000000000
2019-05-11,2889.6120000000000000
2019-05-18,2846.6180000000000000
2019-05-25,2841.8320000000000000
2019-06-01,2781.5825000000000000
2019-06-08,2818.1400000000000000
2019-06-15,2886.1820000000000000
2019-06-22,2927.7040000000000000
2019-06-29,2928.6380000000000000
2019-07-06,2980.8925000000000000
2019-07-13,2992.4660000000000000
2019-07-20,2994.8960000000000000
2019-07-27,3007.9180000000000000
2019-08-03,2980.0280000000000000
2019-08-10,2893.4460000000000000
2019-08-17,2877.3900000000000000
2019-08-24,2903.7300000000000000
2019-08-31,2897.3040000000000000
2019-09-07,2949.6900000000000000
2019-09-14,2995.1420000000000000
2019-09-21,3001.8500000000000000
2019-09-28,2976.5320000000000000
2019-10-05,2933.4480000000000000
2019-10-12,2931.9300000000000000
2019-10-19,2987.1340000000000000
2019-10-26,3008.0140000000000000
2019-11-02,3045.5100000000000000
2019-11-09,3081.5860000000000000
2019-11-16,3097.9960000000000000
2019-11-23,3112.9000000000000000
2019-11-30,3142.1925000000000000
2019-12-07,3116.6340000000000000
2019-12-14,3149.4960000000000000
2019-12-21,3200.3400000000000000
2019-12-28,3231.8300000000000000
2020-01-04,3236.1925000000000000
2020-01-11,3255.3120000000000000
2020-01-18,3301.4000000000000000
2020-01-25,3315.8875000000000000
2020-02-01,3260.4900000000000000
2020-02-08,3310.9380000000000000
2020-02-15,3368.6780000000000000
2020-02-22,3366.8550000000000000
2020-02-29,3080.6940000000000000
2020-03-07,3044.0060000000000000
2020-03-14,2712.3660000000000000
2020-03-21,2405.5460000000000000
2020-03-28,2466.3660000000000000
2020-04-04,2539.4580000000000000
2020-04-11,2715.7225000000000000
2020-04-18,2813.0320000000000000
2020-04-25,2798.7140000000000000
2020-05-02,2884.9040000000000000
2020-05-09,2874.1180000000000000
2020-05-16,2867.3280000000000000
2020-05-23,2950.4840000000000000
2020-05-30,3025.4850000000000000
2020-06-06,3113.1400000000000000
2020-06-13,3134.6240000000000000
2020-06-20,3103.5800000000000000
2020-06-27,3078.4580000000000000
2020-07-04,3099.8500000000000000
2020-07-11,3166.4140000000000000
2020-07-18,3203.9200000000000000
2020-07-25,3247.2900000000000000
2020-08-01,3246.7260000000000000
2020-08-08,3325.8660000000000000
2020-08-15,3364.1580000000000000
2020-08-22,3385.8580000000000000
2020-08-29,3469.2380000000000000
2020-09-05,3497.9640000000000000
2020-09-12,3352.7400000000000000
2020-09-19,3369.3420000000000000
2020-09-26,3275.7200000000000000
2020-10-03,3355.8620000000000000
2020-10-10,3422.5980000000000000
2020-10-17,3500.3940000000000000
2020-10-24,3444.8960000000000000
2020-10-31,3328.5500000000000000
2020-11-07,3428.5460000000000000
2020-11-14,3558.1700000000000000
2020-11-21,3588.7280000000000000
2020-11-28,3620.2500000000000000
2020-12-05,3663.7860000000000000
2020-12-12,3679.7180000000000000
2020-12-19,3695.0340000000000000
2020-12-26,3693.8125000000000000
2021-01-02,3737.6275000000000000
2021-01-09,3760.8240000000000000
2021-01-16,3794.8860000000000000
2021-01-23,3836.3250000000000000
2021-01-30,3791.4740000000000000
2021-02-06,3837.7820000000000000
2021-02-13,3917.5820000000000000
2021-02-20,3921.1500000000000000
2021-02-27,3864.7580000000000000
2021-03-06,3840.4480000000000000
2021-03-13,3895.6560000000000000
2021-03-20,3946.8660000000000000
2021-03-27,3924.8620000000000000
2021-04-03,3980.6000000000000000
2021-04-10,4091.5540000000000000
2021-04-17,4150.0260000000000000
2021-04-24,4157.3540000000000000
2021-05-01,4190.0320000000000000
2021-05-08,4191.8260000000000000
2021-05-15,4137.9840000000000000
2021-05-22,4144.3560000000000000
2021-05-29,4197.2320000000000000
2021-06-05,4208.2250000000000000
2021-06-12,4231.9900000000000000
2021-06-19,4222.7500000000000000
2021-06-26,4252.0520000000000000
2021-07-03,4310.4380000000000000
2021-07-10,4348.0100000000000000
2021-07-17,4363.0660000000000000
2021-07-24,4343.9020000000000000
2021-07-31,4407.7620000000000000
2021-08-07,4415.7180000000000000
2021-08-14,4449.1260000000000000
2021-08-21,4435.1060000000000000
2021-08-28,4488.2640000000000000
2021-09-04,4529.5880000000000000
2021-09-11,4496.4900000000000000
2021-09-18,4459.8440000000000000
2021-09-25,4402.4040000000000000
2021-10-02,4363.9560000000000000
2021-10-09,4360.1660000000000000
2021-10-16,4397.0540000000000000
2021-10-23,4527.3920000000000000
2021-10-30,4578.9500000000000000
2021-11-06,4656.4960000000000000
2021-11-13,4673.1560000000000000
2021-11-20,4694.9740000000000000
2021-11-27,4667.4300000000000000
2021-12-04,4570.1680000000000000
2021-12-11,4671.8200000000000000
2021-12-18,4660.4440000000000000
2021-12-25,4659.9000000000000000
2022-01-01,4783.1020000000000000
2022-01-08,4732.7520000000000000
2022-01-15,4686.3180000000000000
2022-01-22,4497.6350000000000000
2022-01-29,4374.9740000000000000
2022-02-05,4525.8880000000000000
2022-02-12,4503.0620000000000000
2022-02-19,4415.3760000000000000
2022-02-26,4300.9025000000000000
2022-03-05,4351.8200000000000000
2022-03-12,4222.7000000000000000
2022-03-19,4333.6420000000000000
2022-03-26,4498.4500000000000000
2022-04-02,4577.1680000000000000
2022-04-09,4515.4800000000000000
2022-04-16,4412.2900000000000000
2022-04-23,4395.7580000000000000
2022-04-30,4214.9420000000000000
2022-05-07,4180.2480000000000000
2022-05-14,3976.2880000000000000
2022-05-21,3964.5380000000000000
2022-05-28,4022.0080000000000000
2022-06-04,4129.6850000000000000
2022-06-11,4063.3120000000000000
2022-06-18,3723.3420000000000000
2022-06-25,3808.0375000000000000
2022-07-02,3830.2400000000000000
2022-07-09,3869.6175000000000000
2022-07-16,3825.7100000000000000
2022-07-23,3937.6040000000000000
